"如何透過交易系統全額線上預繳股票? 交割銀行若為中國信託，請您至臨櫃簽署「預收款轉撥同意書」，簽署完成後即可進行線上預繳。
請登入各交易平台的「E服務」>全額線上預繳，操作說明如下：
1.e 統金：首頁 >主選單【E服務】>全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
2.金贏島：點選左下方選單【交易/帳務】>統合e網 >點選下拉選單內的【E服務】>查詢 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
4.e指發APP(新版)：首頁 >功能總覽> 交易類「 全額預繳」 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
※可執行全額預繳時間：交易日8:00-14:30。",,,
"線上開戶簽署文件 一、開立分戶帳：數位帳戶/統e金帳戶：
需簽署以下文件：
【線上開戶同意書】、【證券及OTC委託買賣契約】、【線上開戶徵信表】、【證券商交割專戶留存客戶款項契約書】、【客戶交割專戶分戶帳約定申請書】
二、加開複委託，則需再簽署【W-8BEN受益人身份證明書】
三、其它開戶問題，「線上開戶操作手冊」
https://tinyurl.com/2p8br668",,,
線上開戶驗證碼發送次數上限 線上開戶發送驗證碼有效時間為300秒，超過時間可再次寄送，沒有上限次數。,,,
線上開戶驗證碼逾時與重發 線上開戶發送驗證碼若已逾時，請再次點選「取得驗證碼」，即可重新取得新的驗證碼。,,,
"線上開信用戶資格 【線上開立信用戶資格】
1.年滿十八歲有行為能力之中華民國國民。
2.開立受託買賣帳戶滿三個月。
3.最近一年股票委託買賣成交達十筆以上。
4.最近一年股票委託買賣成交金額達25萬元以上不含興櫃。
5.具統一證券電子交易戶及網路下單憑證。
6.非使用資金管理帳號分戶帳。
7.線上開立信用戶額度為50萬，若有其它額度需求請至櫃檯辦理。",,,
"線上開借券戶資格 線上開立借券戶條件：
1.年滿十八歲有行為能力之中華民國國民。
2.開立受託買賣帳戶滿三個月。
3.具電子戶資格且具統一綜合證券所核發之有效憑證。",,,
"線上開複委託配合交割銀行 複委託交割銀行目前配合銀行為：中國信託、國泰世華、台新銀行。
複委託交割銀行說明：
一、外幣帳戶：
1.中國信託：外幣科目23、好證點科目31 
2.國泰世華：交割單帳號外匯綜合存款帳戶 
3.台新銀行：交割單帳號外匯綜合存款帳戶
二、台幣帳戶：
1.中國信託：交割單帳號限統一交割 
2.國泰世華：交割單帳號一般活儲、統一交割
3.台新銀行：交割單帳號限統一交割

※注意事項
1.台幣及外幣交割帳戶僅能二擇一使用。
2.無論台外幣皆無法使用台新Richart帳戶作為交割帳號。",,,
"如何銷戶? 一、線上開戶者：請帳戶本人攜帶身分證正本、第二證件(健保卡或駕照正本) 到全省服務據點辦理。
二、臨櫃開戶者：請帳戶本人攜帶身分證正本、第二證件(健保卡或駕照正本) 、開戶印章 或簽名至全省服務據點辦理。
進行銷戶作業前，請致電各分公司櫃台確認相關作業細節。
全省分公司服務據點：
https://tinyurl.com/pj35wrc2",,,
e指發輸入憑證密碼出現「西元出生年月日輸入錯誤請重新確認」? 輸入格式為8碼純數字，ex.19990101，請確認後再重新輸入。,,,
e指發輸入憑證密碼出現-10憑證密碼錯誤? 請帳戶本人於台股交易日08：00-20：00致電客服中心02-81724668協助排除,,,
e指發輸入憑證密碼出現114憑證密碼錯誤? 首次申請，請使用憑證密碼單上的密碼輸入，憑證密碼超過30日未使用或無憑證密碼單者，請帳戶本人於台股交易日08：00-20：00致電客服中心02-81724668協助排除,,,
什麼是電子憑證? 為網際網路上用來認證使用者身分的電子證件。,,,
手機跟電腦憑證是共用的嗎? 手機與電腦的憑證為不同憑證，無法共用，需各別申請。,,,
"手機憑證效期查詢 1. e 指發APP舊版：
   首頁 > 帳務查詢或交易功能 > 帳號管理 > 點選帳號 > 憑證資訊
2. e 指發APP新版：
   首頁 > 交易 > 帳號管理 > 點選帳號 > 憑證資訊",,,
"申請e指發憑證 手機至官方商店App Store或Play商店下載/登入e指發
一、首次申請，請先執行登入密碼變更：
       登入> 立即申請 >OTP驗證(行動電話或Email接收) >輸入憑證密碼 > 完成申請
二、憑證即將到期客戶：
       登入 >立即展延 >OTP驗證(行動電話或Email接收) > 完成申請
三、憑證過期或更換行動裝置：
       登入 >立即申請 >OTP驗證(行動電話或Email接收) >輸入西元出生年月日8碼數字 > 完成申請

※注意事項：
1.證券帳戶首次變更密碼時請以帳號登入。。
2.申請過程輸入憑證密碼若出現逾期或無憑證密碼時，請帳戶本人致電客服中心02-81724668協助展延。
3.憑證到期前30日登入系統時將會提示到期更新訊息。
4.申請畫面若出現無可接收OTP密碼方式，請於台股交易日08：00-20：00致電客服中心02-81724668協助。",,,
"申請財管憑證 電腦或手機以瀏覽器開啟財管網站 >帳號或身分證字號登入 > OTP驗證 > 輸入西元出生日期8碼 > 完成申請
財富管理網址：
https://tinyurl.com/bdpdw878

※注意事項
1.申請畫面若出現無可接收OTP密碼方式，請帳戶本人致電客服中心02-81724668協助。
2. 財管憑證會保留在網頁中，請勿以「無痕模式」開啟財管網站，會造成憑證資料無法留存，每次以無痕開啟財管網頁，皆需重新申請憑證。
3.瀏覽器彈跳視窗預設可能是封鎖，請開啟並設定一率(永遠)允許，重新登入即可正常驗證。",,,
"申請電腦憑證 Windows電腦申請憑證，建議使用「憑證e總管」：
https://tinyurl.com/bvdtpnjk


※注意事項：
1.證券帳戶首次變更密碼時請以帳號登入。。
2.申請過程輸入憑證密碼若出現逾期或無憑證密碼時，請帳戶本人致電客服中心02-81724668協助展延。
3.憑證到期前30日登入系統時將會提示到期更新訊息。
4.申請畫面若出現無可接收OTP密碼方式，請於台股交易日08：00-20：00致電客服中心02-81724668協助展延。",,,
"申請憑證出現「無法產生憑證申請檔，請選取合適的密碼模組」? 電子憑證中心登入申請憑證出現「無法產生憑證申請檔，請選取合適的密碼模組」，建議請下載憑證e總管或改用Chrome瀏覽器申請憑證。
1.憑證e總管載點：
https://tinyurl.com/bvdtpnjk
2.使用Chrome瀏覽器登入「電子憑證中心」：
https://pki.pscnet.com.tw/

※注意事項：
使用瀏覽器申請憑證可能需要安裝元件，先將防毒軟體暫時關閉，以利安裝元件，過程中若需要協助，請於台股交易日08：00-20：00致電客服中心02-81724668協助排除。",,,
"申請憑證出現「憑證元件尚未安裝」 若您尚未安裝簽章元件，將無法進行憑證申請，請點選確認後開始下載安裝元件，或依您目前使用的瀏覽器安裝下列元件，再進行憑證申請。
一、IE瀏覽器元件
https://tinyurl.com/587kpe4t
二、非IE瀏覽器元件Edge/Chrome/Firefox
https://tinyurl.com/yv9v7xhd
三、MAC瀏覽器元件(元件安裝成功後，電腦將提醒需重新啟動)
https://tinyurl.com/3dyay9rk",,,
憑證密碼如何變更? 開戶完成後所取得的憑證密碼，提供首次申請憑證的客戶使用，僅在第一次申請憑證時使用，不需要變更。非首次客戶申請憑證時，請輸入西元出生年月日8碼數字。,,,
"MAC作業系統電腦申請憑證 MAC電腦申請憑證，請依下列方式操作：
1、開啟Safari或chrome瀏覽器至官網進行元件下載與安裝：
     元件載點：https://tinyurl.com/3dyay9rk
2、元件安裝成功後電腦會請您重新啟動，開機後進行憑證申請
3、至下列憑證中心網址申請憑證：
      https://pki.pscnet.com.tw/
    ！！ 申請過程請勿設定「簽章密碼」！！
4、登入e統金，出現要求輸入簽章密碼時，保持空格，點選「好」即可登入",,,
統一證券憑證報稅 使用統一證券網路下單憑證，可進行所得稅網路申報功能。,,,
換手機要重新申請憑證嗎? 不同行動裝置皆須重新申請憑證。,,,
"換電腦要重新申請憑證嗎? 1.憑證在效期內時，請至原申請憑證電腦，進行備份後再將憑證匯入其它電腦即可使用。
2.憑證過期時，請至證券官網首頁下載「憑證e總管」重新申請即可",,,
"註銷電腦憑證 1.電腦憑證未備份情況下更換電腦時，請先至憑證中心 進行註銷。
   https://pki.pscnet.com.tw/
2.或請帳戶本人於台股交易日8:00~20:00致電客服專線02-81724668 協助。
3.或通知您所屬營業員協助。",,,
"匯入電腦憑證(Windows) 備份憑證匯入方式如下：
1.直接匯入法：雙擊備份檔案>開啟> 憑證匯入精靈>請繼續執行「下一步」，直到憑證匯入完成即可。
2.瀏覽器匯入方式(無法使用上述方式匯入者)：
   開啟Chrome或Edge瀏覽器，右上角「...」>設定>搜尋憑證 > 點選安全性 >管理裝置憑證 > 匯入 >選擇備份檔案存放位置 依序進行至匯入完成。

※注意事項
1.若您的憑證備份檔案有設立保護密碼，匯入過程需要輸入密碼才能成功匯入。
2.匯入過程若勾選「啟用加強私密金鑰保護」，每次執行下單時都需要再輸入一次所設定的密碼，若不需要此功能，請重新匯入憑證即可。",,,
"匯出電腦憑證(Windows) 請下載「憑證e總管」：
https://tinyurl.com/bvdtpnjk
登入 >左側憑證匯出備份 > 瀏覽 >選擇存放位置 > 確定 > 憑證檔密碼欄位可不輸入 (設定密碼者匯入時須輸入此密碼) > 確定。",,,
"電腦憑證效期查詢 請下載「憑證e總管」：
https://tinyurl.com/bvdtpnjk
登入 > 畫面中即有憑證相關資訊 (包含有效起訖日期) 
登入後若出現找不到可用憑證 ，詢問是否匯入時，表示該電腦並無有效憑證，請回原申請電腦查詢，或帳戶本人於台股交易日08：00-20：00致電客服中心02-81724668協助。",,,
"憑證OTP驗證碼 1.申請憑證需進行雙因子認證，OTP驗證碼可以選擇「行動電話」或「電子信箱」 進行接收。
2.申請過程中選擇申請帳號之後，下方接收驗證碼卻未出現手機號碼或電子信箱時，請帳戶本人於台股交易日08：00-20：00致電客服中心02-81724668，將由專人協助！
3.期貨客戶請致電您所屬營業員協助！",,,
"憑證到期通知 憑證使用期限為一年申請日起算一年，憑證到期通知說明如下：
1. Email通知：已於統一證券留存交易回報信箱，系統會於憑證到期前30日與7日進行Email通知。
2. 登入看盤系統通知：成功登入交易系統，到期前30日開始進行更新通知。
3. 手機憑證：成功登入e指發，到期前28日開始進行更新通知。",,,
"營業員電話 請依下列業務別與所屬開戶分公司聯絡！

一、統一證券全省服務據點：
https://tinyurl.com/pj35wrc2

二、統一期貨服務據點
https://www.pfcf.com.tw/about/detail/156",,,
統一投顧電話 統一投顧服務專線022748-8399，服務時間為台股交易日8:30~16:30。,,,
"期貨出金電話 期貨人工出金專線：
一、日盤出金電話14:00前：022748-8385 或 022748-8386
二、夜盤出金電話14:00後：023766-3842。",,,
期貨夜盤下單專線 統一期貨夜盤下單專線023766-3842。,,,
"聯繫證券客服 統一證券提供以下多元聯繫管道，歡迎您多加利用，我們將竭誠為您服務。
一、客服專線
服務時間：台股交易日8:00-20:00
服務專線：02-81724668，免付費專線0800-211-885(手機也可撥打)
國外請撥：國際冠碼+886-2-8172-4668。

二、文字客服
智能文字客服服務時間：24小時全年無休。
轉接真人客服服務時間：台股交易日8:00-17:00。
服務範圍：提供常見問題說明及真人文字服務，請多加利用e指發僅提供真客服服務。
諮詢文字客服方式：
1.官網：統一證券官網首頁右下方點選「領航獅」圖示。
2. e指發APP：統一專區>文字客服＞文字客服。
3.官方LINE：打開領航員選單>智能客服>聯絡客服>文字客服。

三、客服信箱
服務時間：24小時全年無休。
線上即時回覆時間：台股交易日8:00-17:00。
歡迎您將問題寄至本公司客服信箱info-center@uni-psg.com，我們將儘快回覆！

四、官網留言板
服務時間：24小時全年無休。請於留言版留下您的問題與寶貴的意見，我們將於服務時間儘快回覆！
線上即時回覆時間：台股交易日8:00-17:00。
點選下方連結進入證券官網>主選單「證券」>留言板 
https://tinyurl.com/3bumts5v",,,
"臨櫃開戶 臨櫃開戶請先致電各分公司服務據點，確認相關事宜後再前往！

一、統一綜合證券服務據點營業時間8:00-16:30：
https://tinyurl.com/pj35wrc2

二、統一期貨服務據點
https://www.pfcf.com.tw/about/detail/156",,,
"證券交易時間 一、證券交易時間：
1.一般交易委託時間：
   整股 08:30~13:33 / 盤中零股 09:00~13:30 / 盤後零股 13:40~14:30 / 盤後定價 14:00~14:30
2.預約單委託時間：
   整股 13:38~次交易日08:30  / 盤中零股 13：38~次交易日09：00 / 盤後零股 14:35~次交易日13:30 / 盤後定價 14:35~次交易日14:00

二、興櫃交易時間：委託時間 9:00~15:00

三、期權交易時間：一般交易委託時間 08:30~13:45 / 委託預約 13:50_隔日08:30",,,
"如何登入統一證券財富管理官網 請點選下方連結進入【統一證券財富管理官網】
https://nwmtrade.pscnet.com.tw/",,,
"財管信託業務包含項目及市場? 1.基金：含境內基金、境外基金。境內基金23家投信、境外基金21家總代理，約2810檔基金，請參考【財管官網基金標的】https://nwmtrade.pscnet.com.tw/justFundSearch.aspx 查詢
2.境內結構型商品(PGN、ELN)
3.境外結構型商品(FCN、IRD、DRA等)
4.海外債券(BOND)
5.債券附條件交易(RP)
6.持股信託",,,
債券可以使用在途款嗎? 由於統一證券是以信託平台來執行海外債券交易，因此在途款無法使用,,,
"專業投資人如何申請? 客戶辦理成為專業投資人須簽屬『統一綜合證券專業投資人聲明書』
並同時具備  1.財力證明  2.充足金融商品交易經驗  3.專業知識
更多申請細節，可直接洽詢所屬營業員或分公司後台。",,,
"想下海外債券如何開戶？ 目前客戶若欲至統一證券下海外債券需先開立財富管理信託帳戶，可至[【開戶專區】
https://vchat.pscnet.com.tw/mOpenNew/eOpen/#/main/home",,,
"海外債券交割方式為何？ 1.營業員T+1電話及Email確認是否成交
2.若成交T+5日內寄發交易確認報告書
3.下月初收到對帳單
4.透過統一證信託專戶保管銀行款券交割
5.約T+2~4日交割完成",,,
海外下債券帳戶裡要有錢嗎？ 客戶於委託下單前，需將足額款項自行轉入信託指定之虛擬帳戶。,,,
"投資人的基金配息收入要不要申報最低稅負? 一、自然人                                                                           
?國內基金配息：如投資在國內>利息所得或股利所得，適用個人綜合所得稅。                                                            
?國內基金配息：如投資在國外>海外所得，適用最低稅負制。                                         
?境外基金配息：不論國內外>海外所得 ，適用最低稅負制。                                      
二、法人                                                                               
?國內基金配息：投資國內>適用營利事業所得稅。           
?國內基金配息：投資國外>適用營利事業所得稅。           
?境外基金配息：不論國內外>適用營利事業所得稅。 ",,,
"投資人的基金配息收入要不要申報綜合所得稅? 一、自然人                                                                           
?國內基金配息：如投資在國內>利息所得或股利所得，適用個人綜合所得稅。                                                            
?國內基金配息：如投資在國外>海外所得，適用最低稅負制。                                         
?境外基金配息：不論國內外>海外所得 ，適用最低稅負制。                                      
二、法人                                                                               
?國內基金配息：投資國內>適用營利事業所得稅。           
?國內基金配息：投資國外>適用營利事業所得稅。           
?境外基金配息：不論國內外>適用營利事業所得稅。 ",,,
我可以買回再申購以不同幣別計價的基金嗎？ 若原始申購幣別為新台幣，則可以買回再申購到不同幣別計價的基金，集保在收到贖回款項時會進行換匯的動作；但若原始申購幣別為外幣時，只能買回再申購到相同計價幣別的基金，無法再申購到不同計價幣別的基金。,,,
基金第一次如何啟用密碼 登入網路交易平台(e統金、金贏島、金好探、e指發APP)，以密碼單中的【網路密碼】進行網路密碼變更。,,,
"每日基金交易的截止時間？ 因境內基金及境外基金規範上並不相同，可參考統一證券財富管理網頁： 
【統一證券財富管理網頁 >客戶服務 >信託公告事項 >信託業務交易注意事項 】
https://nwmtrade.pscnet.com.tw/trustAnnouncement.aspx",,,
申購的基金甚麼時候會進入信託或複委託帳上? 依各基金公司之交易確認書為準，一般境內基金為T+1~T+2日入帳，境外基金為T+2~T+5日入帳。,,,
信託開戶作業到可交易需要多少時間 當日可完成開戶作業，下一營業日即可進行交易。,,,
從現有的A類型基金(累積型)轉換至B類型(配息型)，淨值日的認列方式為何?手續費是否有優惠? 一般情況：A類轉B類或B類轉A類其實資產都在同一檔基金之內，所以若T日申請A類轉B類，會以T+1日為A類買回淨值、同時也以T+1日B類的淨值為申購淨值。目前境內基金僅限同公司基金轉換不收手續費。然各基金公司規範並不盡相同，需依各基金公司公開說明書及相關規定為準。,,,
"各系列基金之申購/買回/轉申購淨值日規定? 一般原則為：
一、境內基金：申購為T日淨值，贖回為T+1日淨值。
二、境外基金：申購及贖回皆為T日淨值。
三、境內及境外基金轉申購：轉出基金入帳日為轉入基金淨值計算日。
惟需依各基金信託契約及公開說明書規定為準",,,
"單筆及定期定額投資的最低申購金額為何？ 因境內基金及境外基金及各幣別規範上不盡相同，可參考統一證券財富管理網頁：
【統一證券財富管理網頁 >客戶服務 >信託公告事項 >信託業務交易注意事項】
https://nwmtrade.pscnet.com.tw/trustAnnouncement.aspx",,,
"贖回基金方式? 一、臨櫃贖回
洽開戶所屬分公司服務人員辦理贖回
全省分公司「服務據點」查詢：
https://tinyurl.com/pj35wrc2
二、傳真贖回
點選連結進入【統一證券財富管理官網】
https://nwmtrade.pscnet.com.tw/formDownload.aspx
表單下載專區，下載表單填寫後，洽開戶所屬分公司櫃台詢問傳真專線進行回傳或聯繫分公司服務人員。

三、線上贖回
1.點選下方連結進入【統一證券財富管理官網】
https://nwmtrade.pscnet.com.tw/login.aspx?continue=%2fqryFundStock.aspx%3ftxtype%3dredemption


2.e指發APP
交易功能(或帳務查詢) > 基金 > 基金贖回/轉換。",,,
"基金申購扣款方式？ 一、虛擬帳號扣款，須將款項匯入至信託虛擬帳號
二、授權扣款，請洽本公司服務人員，簽署授權扣款申請書，或於全省中國信託ATM進行約定。
【統一證券財富管理網頁 >客戶服務 >表單下載專區 >異動類表單】
https://nwmtrade.pscnet.com.tw/formDownload.aspx",,,
配息基金的收益會被課徵二代健保的補充保費嗎？ 基金的配息是否要繳交補充保費，需釐清配息的來源是來自「國內」還是「海外」，以二代健保為例，根據中央健保局的規定：凡屬所得稅法規定之「中華民國來源」所得之股利所得、利息所得或租金收入，即須扣繳補充保險費；也就是說如果配息的來源是海外就不在二代健保補充保費課繳範圍內。,,,
不同系列基金可互轉嗎？ 基金轉換僅限同一投信公司所發行之基金，且以依受託人規定受理轉換(轉申購)者為限(國內與境外基金不得互轉；不同計價幣別基金不得互轉；A股及B股基金亦不得互轉)，境外基金不提供轉換服務。,,,
"贖回款項何時入帳？以何種方式入帳？ 客戶贖回成交後約3~10日會入到客戶之信託專戶，基金贖回之淨值計價基準日及付款日，係依各基金公司公告者為準。 
您可將贖回款項出金至已約定銀行帳戶，交易日14:00前出金，當日入帳；14:00後出金，為預約單，次一交易日入帳。",,,
扣款授權書一定要留原留印鑑嗎？ 是的。由於扣款須核印無誤後才能扣款，若客戶的印鑑與原留銀行印鑑不符，銀行會拒絕扣款。,,,
"申購、贖回、轉換基金的計價淨值以何日計算？ ?基金申購、贖回、轉換之淨值計價基準日，係依各基金公司公告者為準。
您可至【統一證券財富管理】
https://nwmtrade.pscnet.com.tw/justFundSearch.aspx
網頁參閱基金公開說明書。
?或請洽本公司服務人員",,,
"基金申請定期定額能否更改扣款日期及金額？ ?基金定期定額可以更改扣款日期或扣款金額，請至本公司【財富管理網頁】
 https://nwmtrade.pscnet.com.tw/qryFundSIP.aspx  變更或請洽本公司服務人員  。 ",,,
"申購基金後是否能馬上贖回或轉換？ 申購基金後需在申購基金單位數分配後方可贖回或轉換等交易，但是否涉及短線交易則請至
【統一證券財富管理】https://nwmtrade.pscnet.com.tw/justFundSearch.aspx
網頁參閱基金公開說明書。
?或請洽本公司服務人員",,,
"若購買為月配息之基金，配息何時可入帳？有配現之基金嗎？ ?各基金公司對於月配息基金之配息入帳時間，規範並不盡相同，需依各基金公司之公告日為主。                                                                              
?財富管理信託帳戶有配現的基金
請至【統一證券財富管理】https://nwmtrade.pscnet.com.tw/justFundSearch.aspx
網頁參閱基金公開說明書。
?或請洽所屬分公司服務人員",,,
"購買國內或海外基金最低金額為多少？ 因境內基金及境外基金及各幣別規範上不盡相同，可參考統一證券財富管理網頁：
【統一證券財富管理網頁 >客戶服務 >信託公告事項 >信託業務交易注意事項】
https://nwmtrade.pscnet.com.tw/trustAnnouncement.aspx",,,
"我要買海外基金需要另外開戶嗎？ 開立統一綜合證券財富管即可交易國內及海外基金，請先準備：
1.國民身分證正本
2.具有大頭照之第二證件(如健保卡、駕照)
3.印章
4.一萬元以上之資產證明
5.台/外幣銀行存摺影本(約定出金帳號)

[【統一證券服務據點】](https://www.pscnet.com.tw/pscnetStock/getMenuByfunctionId.do?function_id=02_function_40)",,,
幾歲以上才可以自行開基金戶頭? 民國112年起年滿十八歲即可以自行開立信託帳戶買賣基金，未成年子女則需由法定代理人陪同並檢附相關證件。,,,
"未成年子女可以開信託帳戶嗎? 未成年子女需由法定代理人陪同並檢附相關證件，請至統一證券服務據點辦理開戶，請先準備：
1.國民身分證正本
2.具有大頭照之第二證件(如健保卡、駕照)
3.印章
4.一萬元以上之資產證明
5.台/外幣銀行存摺影本(約定出金帳號)
6.未成年子女身分證(或戶籍謄本)、父母雙方身分證影本及印章

[【統一證券服務據點】](https://www.pscnet.com.tw/pscnetStock/getMenuByfunctionId.do?function_id=02_function_40)",,,
"開立信託帳戶方式 一、線上開戶
年滿二十歲(民國111年起改為十八歲)以上且為統一證券電子戶，可透過官網線上開戶點選「舊戶加開複委託及信託」進行開戶

[【線上開戶】](https://vchat.pscnet.com.tw/mOpenNew/eOpen/#/main/home)
[【開戶操作手冊】](https://www.pscnet.com.tw/upload/pscnet/file/20201022193551932821.pdf)
[【開啟密碼函】](https://www.pscnet.com.tw/upload/pscnet/file/20200903102114560742.pdf)
[【常見問題】](https://www.pscnet.com.tw/upload/pscnet/file/20201023091947950625.pdf)

二、臨櫃開戶
請本人攜帶國民身分證正本、具有大頭照之第二證件(如健保卡、駕照)、印章、一萬元以上之資產證明、台/外幣銀行存摺影本(約定出金帳號)至本公司服務據點辦理開戶，或洽所屬分公司服務人員開立統一證券信託帳戶。

[【統一證券服務據點】](https://www.pscnet.com.tw/pscnetStock/getMenuByfunctionId.do?function_id=02_function_40)",,,
"複委託人工下單專線 請致電統一證券各分公司營業員或總公司交易室下單：美股、港股、滬深股通、日股。
日班專線(8:00-18:00)：(02)7706-1896、(02)7706-0168。
夜班專線(夏令19:00-隔日04:00、冬令19:00-隔日05:00)：(02)2747-8212。

※注意事項
1.僅接受當日限價委託。
2.美股、滬深股通、日股無法改量，僅接受刪單重下。
3.因各交易市場交易單位不同，下單請明確告知委託股數。
4.專業投資人可交易滬深股通、放空型或槓桿型ETF。",,,
"複委託帳戶要開立外幣帳戶才能進行交易嗎? 外幣或台幣交割帳戶擇一開戶即可，但是投資A股限開外幣帳戶。
",,,
投資海外市場 投資海外市場可增加投資的多樣性，並達到資產配置的完整性，並可直接投資全球最有競爭力的公司和最有前景的趨勢產業,,,
"港股交易 一、開戶資格/交易流程
統一綜合證券複委託官網：
https://www.pscnet.com.tw/pscnetForeign/index.do
開戶須知：主選單「複委託」>開戶資格
交易說明：主選單「複委託」>交易流程

二、交易方式
1.電子下單(可交易美股、港股、滬深股通)
(1)統一金贏島
登入證券官網 >主選單「證券」>平台介紹>金贏島>下載程式
https://www.pscnet.com.tw/pscnetStock/index.do
(2)統一e指發/XQ全球贏家
手機官方商店(App Store或Play商店)搜尋/下載「e指發」或「XQ全球贏家」

2人工下單(可交易美股、港股、滬深股通、日股)
請致電統一證券各分公司營業員或總公司複委託交易室下單。

全省分公司「服務據點」查詢：
https://tinyurl.com/pj35wrc2

日班專線(8:00-18:00)：(02)7706-1896、(02)7706-0168
夜班專線(夏令19:00-隔日04:00、冬令19:00-隔日05:00)：(02)2747-8212

複委託下單方式，請參考複委託官網(連結如下) >交易說明 >交易流程
https://www.pscnet.com.tw/pscnetForeign/index.do",,,
"港股常見問題 Q1.港股交割幣別？
若開外幣帳戶者，限用港幣交割，若開台幣帳戶者，可用台幣交割
Q2.港股是否有融資融券的制度？
證券商受託買賣外國有價證券管理規則第13 條之規定：證券商受託買賣外國有價證券，不得為有價證券買賣之融資融券。但是港股和美股都可採取當日現股當沖機制，且幾乎所有股份皆可當日沖銷，且額度可循環使用，沒有限制。
Q3.台灣休市可買賣港股嗎?
遇到台灣地區休市，而香港證券市場仍有交易時，本公司可接受委託交易，相關交割順延至上班日。
Q4.港股是否全部可透過複委託交易買賣？
大部分股票都可以_但是部分有專業投資人限制哦。
Q5.如何得知港股成交狀況?
請洽所屬營業員詢問海外股票成交狀況;若為網路客戶，亦可透過網路下單平台查詢成交回報。",,,
"道瓊收盤 交易時間：交易於週一至週五（公眾假期除外）進行，時間如下：
．美東時間：上午9時30分至下午4時正
．台灣時間（3月第二週日－11月第一周日）：晚上09時30分至次日凌晨4時正
．台灣時間（11月第一周日－3月第二週日）：晚上10時30分至次日凌晨5時正",,,
【美股】IPO資訊 查詢網址：https://www.iposcoop.com/ipo-calendar/,,,
"【美股】選股網站 查詢網址：http://www.cnbc.com
點選INVESTING > 選股功能－「Stock Screener」>設定條件搜尋",,,
"海外ETF詳細資訊 中文可以參考：https://www.moneydj.com/etf/x/default.xdjhtm
英文可以參考：http://www.etf.com/",,,
複委託之台幣交割帳戶中圈存的金額何時會解除圈存  收盤後仍有效之未成交委託單將於結帳時解除多餘的圈存款項。港陸股約下午5點、美股約早上9點。,,,
複委託之台幣交割匯率如何決定 中國信託台幣交割匯率為入扣帳日上午9點15分【港幣即期買賣匯率優惠1.5分，美金即期買賣匯率優惠2.5分】,,,
美股市價單是甚麼 市價單是指不指定價格，根據當時市場報價進出。但統一證券美股交易目前並不接受市價單之委託。,,,
複委託母子單 目前統一證券海外股票並無開放母子單(條件單)交易,,,
如何知道各國的股利稅 美股一般都會課有30%股利稅(先課除)；港股多數紅籌股與國企股配息會先扣除10%股利稅,,,
"如何知道美股除權息資訊 可以透過下列海外網站查詢
1. Dividend.com
2. Dividata.com
或洽詢你所屬營業員，由統一證券財管部同仁協助查詢",,,
如何避免美國特別股30%股利稅 一般來說註冊國為美國的特別股配息，均先預扣30%，待確認美國當地不需扣稅，則會退還預扣稅款(但時間不定，需視上手券商通知)。若需詢問特定標的，可先洽詢所屬營業員,,,
"我要委託國外股票，要打電話給誰 請致電您的營業員。若營業員請假或已經下班，請致電交易室下單專線。
※香港、上海、深圳市場：透過統一證券海外網路下單平台或致電
交易專線：（02）7706–0168，（02）7706–1896
※美國市場：透過統一證券海外網路下單平台或致電統一證券下單
交易專線：（02）2747 - 8212",,,
我要買國企股 可利用統一證券(統一E指發手機下單系統)，在首頁點選港股報價，再點選國企股，當中有國企股報價可直接點入下單,,,
我想買某檔股票，如何知道這檔股票的性質以及進一步的資訊 可直接到統一證券金贏島下單系統(AP)，有提供個股基本資料相關資訊，也可直接到網站收尋，如阿斯達克財經網:可完整提供港股相關資訊和重要配息資訊和相關個股新聞,,,
美股可下盤前盤後單嗎，如何下 目前統一證券並無開放美股交易盤前或盤後單,,,
"美股交易規定，跳價單位 不論股價，皆以USD0.01為跳動單位。
買單：委託價格不可超過揭示委賣價向上3%-10%
賣單：委託價格不可低於揭示委買價向下3%-10%
預約單亦同(本公司委託單 約台灣時間20：00委託進市場，依委託單進市場時間判 斷該價格是否可委託) 
更多交易細則請參考：
http://download.pscnet.com.tw/download/stb_teach/trade_need.htm#美國市場跳動單位:",,,
"各國股票價格跳動單位怎麼計算 美股:不論股價，皆以USD0.01為跳動單位， 上海深圳市場:不論股價，皆以CNY0.01為跳動單位，港股部分請看本公司網站 海外股票交易須知： 
 http://download.pscnet.com.tw/download/stb_teach/trade_need.htm",,,
"海外股票哪時候可下預約單 港股:16:10 ~ 隔日9:00 另外09:15 ~ 09:30 及1200-13:00也可下預約單
A股: 15：05 ~ 隔日09：30 另外，11：30 ~ 13：也可下預約單
美股:美東16：05 ~ 隔日09：30  可下預約單",,,
哪裡可以查【ADR】保管費的官方資訊 ADR的託管費用所收取的金額和時間會因不同的ADR而有所不同。需要具體資訊請參閱各個ADR招股說明書。,,,
海外股票紙本股票存入 並非每一檔股票實體股票皆可接受存入，可透過所屬營業員洽詢,,,
